user_id,channel,record_datetime,duration_hhmmss,gender,age,province,age_group,time_of_day,seconds_viewed
831766,Africa Magic,2016-03-05T19:35:00.000Z,1899-12-31T00:00:31.000Z,male,29,Gauteng,youth,Evening,31
808997,Trace TV,2016-02-19T10:41:00.000Z,1899-12-31T00:02:18.000Z,male,27,Limpopo,youth,Morning,138
808997,Channel O,2016-02-19T18:27:00.000Z,1899-12-31T00:00:00.000Z,male,27,Limpopo,youth,Evening,0
808997,Channel O,2016-03-22T04:33:00.000Z,1899-12-31T00:06:03.000Z,male,27,Limpopo,youth,Night,363
808997,Channel O,2016-02-25T05:24:00.000Z,1899-12-31T00:19:45.000Z,male,27,Limpopo,youth,Morning,1185
808997,Channel O,2016-01-27T06:12:00.000Z,1899-12-31T00:01:42.000Z,male,27,Limpopo,youth,Morning,102
808997,Channel O,2016-02-01T04:54:00.000Z,1899-12-31T00:05:57.000Z,male,27,Limpopo,youth,Night,357
892532,Cartoon Network,2016-03-20T20:39:00.000Z,1899-12-31T00:00:35.000Z,male,38,Gauteng,adults,Evening,35
816289,Channel O,2016-03-08T12:48:00.000Z,1899-12-31T00:02:21.000Z,female,25,Mpumalanga,youth,Afternoon,141
816289,CNN,2016-03-09T05:31:00.000Z,1899-12-31T00:00:00.000Z,female,25,Mpumalanga,youth,Morning,0
868961,Supersport Live Events,2016-03-16T16:28:00.000Z,1899-12-31T00:01:08.000Z,male,35,Gauteng,youth,Afternoon,68
2285609,Cartoon Network,2016-02-25T21:38:00.000Z,1899-12-31T00:00:04.000Z,male,28,Kwazulu Natal,youth,Night,4
2285609,Trace TV,2016-03-07T21:45:00.000Z,1899-12-31T01:29:54.000Z,male,28,Kwazulu Natal,youth,Night,5394
793649,Trace TV,2016-03-30T07:28:00.000Z,1899-12-31T00:11:30.000Z,female,21,Limpopo,youth,Morning,690
793649,MK,2016-03-27T21:39:00.000Z,1899-12-31T00:00:20.000Z,female,21,Limpopo,youth,Night,20
793649,Africa Magic,2016-03-29T15:54:00.000Z,1899-12-31T00:01:28.500Z,female,21,Limpopo,youth,Afternoon,88
771872,Cartoon Network,2016-02-07T14:10:00.000Z,1899-12-31T00:12:33.000Z,male,25,Western Cape,youth,Afternoon,753
771872,Boomerang,2016-01-31T14:20:00.000Z,1899-12-31T00:10:04.000Z,male,25,Western Cape,youth,Afternoon,604
771872,Boomerang,2016-01-31T17:32:00.000Z,1899-12-31T00:00:01.000Z,male,25,Western Cape,youth,Evening,1
809000,Supersport Live Events,2016-02-19T07:18:00.000Z,1899-12-31T00:01:10.000Z,male,47,Gauteng,adults,Morning,70
